place,lac,ci,lon,lat,2G_3G,people
MY0424A1_绵阳九州软件园-1,33111,50234,104.67311,31.50062,2,4
MY0424B1_绵阳九州软件园-2,33111,50235,104.67311,31.50062,2,4
MY0424C1_绵阳九州软件园-3,33111,50236,104.67311,31.50062,2,4
MY0321A1_绵阳八角新村-1,33111,50244,104.68085,31.48256,2,1
MY0321B1_绵阳八角新村-2,33111,50245,104.68085,31.48256,2,0.5
MY0321C1_绵阳八角新村-3,33111,50246,104.68085,31.48256,2,1
MY0605A1_绵阳园艺管委会-1,33111,50404,104.69175,31.48148,2,1
MY0605B1_绵阳园艺管委会-2,33111,50405,104.69175,31.48148,2,2
MY0605C1_绵阳园艺管委会-3,33111,50406,104.69175,31.48148,2,2
MY0474A1_绵阳上马西街-1,33111,50424,104.69226,31.491223,2,3
MY0474B1_绵阳上马西街-2,33111,50425,104.69226,31.491223,2,3
MY0474C1_绵阳上马西街-3,33111,50426,104.69226,31.491223,2,0.5
MY0445A1_绵阳卢卡美郡-1,33111,50434,104.67448,31.47498,2,3
MY0445B1_绵阳卢卡美郡-2,33111,50435,104.67448,31.47498,2,0.5
MY0445C1_绵阳卢卡美郡-3,33111,50436,104.67448,31.47498,2,2
MY0398A1_绵阳花园2队-1,33111,50464,104.72129,31.46289,2,0.5
MY0398B1_绵阳花园2队-2,33111,50465,104.72129,31.46289,2,0.5
MY0398C1_绵阳花园2队-3,33111,50466,104.72129,31.46289,2,0.5
MY0356A1_绵阳翡翠园-1,33111,50474,104.69462,31.47022,2,1
MY0356B1_绵阳翡翠园-2,33111,50475,104.69462,31.47022,2,0.5
MY0356C1_绵阳翡翠园-3,33111,50476,104.69462,31.47022,2,3
MY0472A1_绵阳三里村-1,33111,50504,104.71456,31.46871,2,1
MY0472B1_绵阳三里村-2,33111,50505,104.71456,31.46871,2,1
MY0472C1_绵阳三里村-3,33111,50506,104.71456,31.46871,2,1
MY6027A1_绵阳浣花宾馆1800-1,33111,50834,104.70422,31.46291,2,10
MY6027B1_绵阳浣花宾馆1800-2,33111,50835,104.70422,31.46291,2,10
MY6027C1_绵阳浣花宾馆1800-3,33111,50836,104.70422,31.46291,2,10
MY6010A1_绵阳川大校区1800-1,33111,50854,104.65148,31.45936,2,0.5
MY6010B1_绵阳川大校区1800-2,33111,50855,104.65148,31.45936,2,10
MY6010C1_绵阳川大校区1800-3,33111,50856,104.65148,31.45936,2,10
MY6039A1_绵阳丽景花城1800-1,33111,50864,104.70848,31.45715,2,0.5
MY6039B1_绵阳丽景花城1800-2,33111,50865,104.70848,31.45715,2,10
MY6039C1_绵阳丽景花城1800-3,33111,50866,104.70848,31.45715,2,10
MY6057A1_绵阳外国语学校1800-1,33111,50874,104.68569,31.476627,2,5
MY6057B1_绵阳外国语学校1800-2,33111,50875,104.68569,31.476627,2,5
MY6057C1_绵阳外国语学校1800-3,33111,50876,104.68569,31.476627,2,5
MY0390A1_绵阳河边-1,33111,5091,104.51943,31.45333,2,7
MY0390B1_绵阳河边-2,33111,5092,104.51943,31.45333,2,0.5
MY0390C1_绵阳河边-3,33111,5093,104.51943,31.45333,2,0.5
MY0494A1_绵阳双碑电缆厂-1,33111,50934,104.68577,31.46574,2,3
MY0494B1_绵阳双碑电缆厂-2,33111,50935,104.68577,31.46574,2,0.5
MY0494C1_绵阳双碑电缆厂-3,33111,50936,104.68577,31.46574,2,0.5
MY0461A1_绵阳普明中学-1,33111,50944,104.65647,31.46873,2,0.5
MY0461B1_绵阳普明中学-2,33111,50945,104.65647,31.46873,2,3
MY0461C1_绵阳普明中学-3,33111,50946,104.65647,31.46873,2,2
MY0399A1_绵阳花园南街-1,33111,51004,104.711732,31.455032,2,6
MY0557A1_绵阳新庙村-1,33111,51014,104.71417,31.47654,2,0.5
MY0557B1_绵阳新庙村-2,33111,51015,104.71417,31.47654,2,0.5
MY0557C1_绵阳新庙村-3,33111,51016,104.71417,31.47654,2,0.5
